ref_id,ref_text
REF0001,https://www.sunshine.org.tw/service/index/oral_cancer/196
REF0002,https://www.canceraway.org.tw/page.php?IDno=4401
REF0003,https://doi.org/10.6320/FJM.202009_24(5
REF0004,https://elearning.canceraway.org.tw/page.php?IDno=2881
REF0005,https://ghsha.com/articles/161
REF0006,https://www.chimei.org.tw/main/cmh_department/59012/info/7730/A7730007.html
REF0007,https://www.sunshine.org.tw/service/index/oral_cancer/oral-service-origin
REF0008,https://elearning.canceraway.org.tw/page.php?IDno=1359
REF0009,https://elearning.canceraway.org.tw/page.php?IDno=3933
REF0010,https://elearning.canceraway.org.tw/page.php?IDno=1613
REF0011,https://www.tci-mandarin.com/ec99/rwd1277/category.asp?category_id=496
REF0012,https://www.edh.tw/article/34054
REF0013,https://elearning.canceraway.org.tw/page.php?IDno=4810
REF0014,https://www.tccf.org.tw/tccfadmin/admin/index.php?act=disqanda&disease=3
REF0015,https://ihealth.vghtc.gov.tw/media/640
REF0016,https://www.sunshine.org.tw/uploads/files/download/service-manual/oralcancer_manual.pdf
REF0017,https://www.cancercarers.org.hk/%E7%97%85%E4%BA%BA%E6%97%85%E7%A8%8B/%E5%A3%9E%E6%B6%88%E6%81%AF%E7%9A%84%E4%BE%86%E8%87%A8%E2%80%94%E2%80%94%E5%A6%82%E4%BD%95%E9%9D%A2%E5%B0%8D
REF0018,https://ihealth.vghtpe.gov.tw/media/814
REF0019,https://doi-org.autorpa.ntunhs.edu.tw:8443/10.6692/KJN-2017-34-2-11
REF0020,https://www.canceraway.org.tw/page.php?IDno=3817
REF0021,http://web.tccf.org.tw/lib/addon.php?act=post&id=5068
REF0022,https://www.canceraway.org.tw/page.php?IDno=2166
REF0023,https://wd.vghtpe.gov.tw/dent/Fpage.action?muid=3626&fid=2882
REF0024,https://www.tci-mandarin.com/ec99/rwd1277/category.asp?category_id=124
REF0025,https://elearning.canceraway.org.tw/page.php?IDno=4401
REF0026,https://www-airitilibrary-com.autorpa.ntunhs.edu.tw:8443/Article/Detail?DocID=1819026x-201704-201706200019-201706200019-140-151
REF0027,https://www.pohai.org.tw/health_detail.php?PKey=1037
REF0028,https://doi-org.autorpa.ntunhs.edu.tw:8443/10.3966/102673012016032701012
REF0029,https://www.thenewslens.com/article/177906
REF0030,https://elearning.canceraway.org.tw/page.php?IDno=3815
REF0031,https://cancer.commonhealth.com.tw/article/861
REF0032,http://web.tccf.org.tw/lib/addon.php?act=post&id=663
REF0033,https://www.tccf.org.tw/tccfadmin/admin/index.php?act=dismode&disease=%E5%8F%A3%E8%85%94%E7%99%8C&mode=6&tagid=3
REF0034,https://www.tccf.org.tw/tccfadmin/admin/index.php?act=dismode&disease=%E5%8F%A3%E8%85%94%E7%99%8C&mode=6&tagid=4
REF0035,https://www.tccf.org.tw/tccfadmin/admin/index.php?act=dismode&disease=%E5%8F%A3%E8%85%94%E7%99%8C&mode=6&tagid=5
REF0036,https://epaper.ntuh.gov.tw/health/202308/health_2.html?utm_source=%E8%B6%85%E9%80%A3%E7%B5%90&utm_medium=%E9%9B%BB%E5%AD%90%E9%83%B5%E4%BB%B6&utm_campaign=%E9%9B%BB%E5%AD%90%E5%A0%B1%E7%99%BC%E5%A0%B1%E6%A9%9F?utm_source=%E8%B6%85%E9%80%A3%E7%B5%90&utm_medium=%E9%9B%BB%E5%AD%90%E9%83%B5%E4%BB%B6&utm_campaign=%E9%9B%BB%E5%AD%90%E5%A0%B1%E7%99%BC%E5%A0%B1%E6%A9%9F
REF0037,https://health.ntuh.gov.tw/health/new/6468.html
REF0038,https://org.vghks.gov.tw/ct/News_Content.aspx?n=2044902FC839D045&sms=D59138EA3ED4269C&s=A6F16BD53DCA8C75
REF0039,https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=127&pid=11172
REF0040,http://web.tccf.org.tw/lib/addon.php?act=post&id=3217
REF0041,https://ihealth.vghtc.gov.tw/media/798
REF0042,https://www.canceraway.org.tw/cancerinfo.php?id=D0052AC3-BE9A-46BC-B9F4-164FF14F3BF9
REF0043,https://www.chimei.org.tw/main/cmh_department/59012/info/5700/A5700201.html
REF0044,https://www.sunshine.org.tw/service/index/oral_cancer/oral-cancer-rehab
REF0045,https://cancer.commonhealth.com.tw/article/479
REF0046,https://www2.cch.org.tw/layout_4/page.aspx?id=715001&oid=1499
REF0047,https://www.canceraway.org.tw/page.php?IDno=1541
REF0048,https://www.cancer-fund.org/wp-content/uploads/2017/04/Mouth_Throat.pdf
REF0049,https://www.global-gclinic.com/post/%E7%99%8C%E7%97%87%E6%B2%BB%E7%99%82%E8%B2%BB%E7%94%A8
REF0050,https://www.sunshine.org.tw/service/index/oral_cancer/oral-cancer-cure
REF0051,https://www.cmuh.cmu.edu.tw/NewsInfo/NewsArticle?no=7340
REF0052,https://www.cgh.org.tw/ec99/rwd1320/category.asp?category_id=1684
REF0053,https://cancer.commonhealth.com.tw/article/321
REF0054,https://www.edh.tw/article/31821
REF0055,https://health.gvm.com.tw/article/83342
REF0056,https://www.healthnews.com.tw/article/56750
REF0057,https://elearning.canceraway.org.tw/page.php?IDno=1541
REF0058,https://www.tci-mandarin.com/ec99/rwd1277/category.asp?category_id=17
REF0059,https://www.skh.org.tw/skh/a248163e15.html
REF0060,https://www.taic.mohw.gov.tw/?aid=509&pid=73&page_name=detail&type=0&iid=1168
REF0061,https://www.chimei.org.tw/main/clh_department/77732/07_7.html
REF0062,https://www.canceraway.org.tw/page.php?IDno=1371
REF0063,https://www.sunshine.org.tw/column/index/OralCancer?akey=oral-cancer
REF0064,https://knowledge.ecancer.org.tw/knowledge/treatment_care/physiol_prescription/i8z9n
REF0065,https://med-net.com/CMSContent/Content/1097
REF0066,https://www.mayoclinic.org/diseases-conditions/cancer/in-depth/cancer-diagnosis/art-20044544
REF0067,https://www.macmillan.org.uk/cancer-information-and-support/treatment/your-treatment-options/understanding-options
REF0068,https://www.macmillan.org.uk/cancer-information-and-support/treatment/your-treatment-options/making-treatment-decisions
REF0069,https://www.mayoclinic.org/diseases-conditions/cancer/in-depth/cancer/art-20044575
REF0070,https://www.cancer.gov/types/recurrent-cancer
REF0071,https://newsinhealth.nih.gov/2021/04/good-sleep-good-health
REF0072,https://www.cancer.gov/about-cancer/coping/feelings/anxiety-distress-pdq
REF0073,https://mccmscontent.mayo.edu/LSC/CEC/stress-management-for-cancer/index.html#/
REF0074,https://www.cancersupportplus.com/cancer-support/treatment-support/staying-motivated-on-treatment
REF0075,https://www.nhs.uk/every-mind-matters/mental-wellbeing-tips/what-is-mindfulness/
REF0076,https://www.nhs.uk/live-well/pain/ways-to-manage-chronic-pain/
REF0077,https://cancer.ca/en/living-with-cancer/coping-with-changes/your-emotions-and-cancer/coping-with-anxiety-and-stress
REF0078,https://www.alltogetheraba.com/tracking-progress-in-speech-therapy/
REF0079,https://www.mayoclinic.org/healthy-lifestyle/stress-management/in-depth/positive-thinking/art-20043950
REF0080,https://cancereducation.mayoclinic.org/fatigue/index.html
REF0081,https://www.mdanderson.org/publications/focused-on-health/5-barriers-to-diet-change-and-how-to-overcome-them.h28-1593780.html
REF0082,https://www.nhs.uk/every-mind-matters/mental-wellbeing-tips/what-is-mindfulness/44015
REF0083,https://health.clevelandclinic.org/how-to-start-a-self-care-routine
REF0084,https://www.mentalhealthfirstaid.org/2020/05/the-importance-of-maintaining-a-routine-while-at-home/
REF0085,https://www.mhanational.org/sites/default/files/Handout%20-%20Creating%20Healthy%20Routines.pdf
REF0086,https://www.apa.org/topics/behavioral-health/healthy-lifestyle-changes
REF0087,https://www.psychologytoday.com/us/blog/progress-notes/202305/4-ways-to-find-greater-fulfillment-in-life
REF0088,https://www.cancer.gov/publications/patient-education/life-after-treatment.pdf
REF0089,https://www.mayoclinic.org/diseases-conditions/cancer/in-depth/cancer-survivor/art-200
REF0090,https://www.cancer.gov/about-cancer/coping/survivorship/new-normal
REF0091,https://www.cancer.org/cancer/managing-cancer/treatment-types/surgery/recovering-from-cancer-surgery.html
REF0092,https://www.cancervic.org.au/get-support/living-with-cancer/life-after-treatment/living-well-after-cancer
REF0093,https://www.cancerandwork.ca/icanwork-steps-to-return-to-work-for-cancer-survivors/
REF0094,https://www.macmillan.org.uk/cancer-information-and-support/impacts-of-cancer/work-and-cancer/returning-to-work
REF0095,https://elearning.canceraway.org.tw/page.php?IDno=3816
REF0096,https://ascopost.com/issues/november-25-2020/job-loss-during-cancer-how-to-cope-and-continue-treatment/
REF0097,https://www.sunshine.org.tw/service/intro
REF0098,https://www.rockymountaincancercenters.com/cancer-survivorship/coping-with-body-changes-after-cancer-treatment
REF0099,https://www.oncolink.org/support/coping-with-cancer/coping-with-changes-to-your-body
REF0100,https://www.cancer.gov/about-cancer/coping/day-to-day/daily-routine
REF0101,https://www.mskcc.org/news/how-regain-body-confidence-after-cancer
REF0102,https://www.cancerandcareers.org/en/looking-for-work/exploring-your-options/cancer-as-inspiration-for-career-changes
REF0103,https://www.mayoclinic.org/diseases-conditions/cancer/in-depth/cancer-survivor/art-20047129
REF0104,https://www.cancer.gov/about-cancer/coping/adjusting-to-cancer/changes-for-family
REF0105,https://www.cancer.gov/about-cancer/coping/survivorship/family-issues
REF0106,https://cancereducation.mayoclinic.org/wp-content/uploads/2019/11/mc2593-45.pdf
REF0107,https://www.cancer.gov/about-cancer/coping/adjusting-to-cancer/communication-pdq
REF0108,https://cancereducation.mayoclinic.org/anxiety/index.html
REF0109,https://cancerblog.mayoclinic.org/2024/09/11/cancer-fatigue-a-common-cancer-side-effect-that-is-different-for-everyone/
REF0110,https://newsnetwork.mayoclinic.org/discussion/caring-for-your-psychological-needs-as-an-adolescent-or-young-adult-cancer-survivor/
REF0111,https://sncs-prod-external.mayo.edu/hometown-health/speaking-of-health/emotional-recovery-after-cancer-treatment
REF0112,https://www.cancer.gov/about-cancer/advanced-cancer/feelings
REF0113,https://www.cancer.org/cancer/managing-cancer/side-effects/emotional-mood-changes/distress/managing-distress.html
REF0114,https://connect.mayoclinic.org/blog/cancer-education-center/newsfeed-post/cancer-survivors-managing-your-emotions-after-cancer-treatment-1/
REF0115,https://www.cancer.org/cancer/survivorship/coping/understanding-psychosocial-support-services.html
REF0116,https://www.canceraway.org.tw/QA-index.php
REF0117,https://connect.mayoclinic.org/blog/cancer-education-center/newsfeed-post/using-mindfulness-to-cope-with-cancer/
REF0118,https://www.mayoclinic.org/healthy-lifestyle/stress-management/in-depth/relaxation-technique/art-20045368
REF0119,https://www.cancer.gov/about-cancer/coping/survivorship/late-effects
REF0120,https://www.mayoclinic.org/diseases-conditions/cancer/in-depth/mouth-sores/art-20045486
REF0121,https://www.akamai.mayoclinic.org/diseases-conditions/cancer/in-depth/cancer/art-20046762
REF0122,https://www.texasoncology.com/who-we-are/news/2020/coping-with-cancer
REF0123,https://www.sunshine.org.tw/service/index/oral_cancer/oral-cancer-cure?utm_source=chatgpt.com
REF0124,https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=204&pid=1118&utm_source=chatgpt.com
REF0125,https://www.canceraway.org.tw/cancerinfo.php?id=D0052AC3-BE9A-46BC-B9F4-164FF14F3BF9&utm_source=chatgpt.com
REF0126,https://ihealth.vghtpe.gov.tw/media/747
REF0127,https://ihealth.vghtpe.gov.tw/media/1234
REF0128,https://www.healthforall.com.tw/?action=article_in&id=6075&utm_source=chatgpt.com
REF0129,https://ihealth.vghtpe.gov.tw/media/881
REF0130,https://www.sunshine.org.tw/service/index/oral_cancer/oral-cancer-rehab?utm_source=chatgpt.com
REF0131,https://www.canceraway.org.tw/uploads/File_20200318180551.pdf
REF0132,https://web.tccf.org.tw/lifetype/index.php?op=ViewArticle&articleId=4341&blogId=1
REF0133,https://www.canceraway.org.tw/page.php?IDno=2670
REF0134,https://www.cancer.org/cancer/managing-cancer/side-effects/pain/cancer-pain.html
REF0135,https://www.mayoclinic.org/diseases-conditions/insomnia/symptoms-causes/syc-20355167
REF0136,https://www.cancer.org/cancer/managing-cancer/side-effects/eating-problems/weight-changes.html
REF0137,https://taichung.tzuchi.com.tw/index.php/2023-02-04-09-24-23/2023-02-07-09-59-48/geng-duo-xin-wen-bao-dao-70/er-bi-hou-ke-kou-qiang-ai-shu-hou-hu-li-zhi-dao-pian-2-bi-wei-guan-zhao-hu?utm_source=chatgpt.com
REF0138,https://cancer.commonhealth.com.tw/article/509?utm_source=chatgpt.com
REF0139,https://cancer.commonhealth.com.tw/article/121
REF0140,https://www.cancerresearchuk.org/about-cancer/treatment/complementary-alternative-therapies/individual-therapies/vitamins-diet-supplements
REF0141,https://www.cancer.org/cancer/survivorship/coping/nutrition.html
REF0142,https://www.cancer.gov/about-cancer/treatment/side-effects/mouth-throat/oral-complications-pdq
REF0143,https://chatgpt.com/g/g-67481118ee20819185778e3653e19dd9-yan-jiu-zhu-li/c/674814c2-4fbc-800b-80f6-33f1f7f3b648
REF0144,https://www.tsmh.org.tw/sites/web_dg/show_doc.php?ap_key=5106
REF0145,https://www.chimei.org.tw/main/cmh_department/59012/info/5600/A5600227.html
REF0146,https://www.iehealth7799.com/%E9%96%8B%E5%88%80%E5%BE%8C%E5%B0%B1%E8%A6%81%E5%A5%BD%E5%A5%BD%E8%A3%9C%E4%B8%80%E9%A0%93%EF%BC%9F%E4%B8%AD%E9%86%AB%E5%B8%AB%E6%95%99%E4%BD%A0%E8%81%B0%E6%98%8E%E5%90%83%E6%9B%B4%E5%BF%AB%E6%81%A2/
REF0147,https://ihealth.vghtpe.gov.tw/media/909
REF0148,https://www.efbiotech.com/wordpress/?page_id=10324
REF0149,http://../../Downloads/%E8%B2%A1%E5%9C%98%E6%B3%95%E4%BA%BA%E5%8F%B0%E7%81%A3%E7%99%8C%E7%97%87%E5%9F%BA%E9%87%91%E6%9C%83-%E5%8F%A3%E8%85%94%E7%99%8C%E6%82%A3%E8%80%85%E8%88%87%E7%85%A7%E9%A1%A7%E8%80%85%E9%9D%A2%E8%87%A8%E7%9A%84%E6%8C%91%E6%88%B0%E8%88%87%E8%AA%BF%E9%81%A9https:/www.canceraway.org.tw
REF0150,https://www.canceraway.org.tw/page.php?IDno=3815
REF0151,https://www.crm.org.tw/class/information/526
REF0152,https://www.chimei.org.tw/ePhotoAlbum/files/8DE42C6B15198570C00CB50350C5664E.pdf
REF0153,https://cancer.commonhealth.com.tw/article/1139
REF0154,https://www.canceraway.org.tw/
REF0155,https://www.myccf.org.tw/helpyou
REF0156,https://www.sunshine.org.tw/
REF0157,https://www.cmuh.cmu.edu.tw/HealthEdus/Detail?no=5698
REF0158,https://www.powerfulpatients.org/zh-TW/2023/06/29/finding-your-new-normal-7-steps-to-navigating-life-after-cancer/
REF0159,https://www.cgh.org.tw/rwd1320/store/F4/223-1-6.pdf
REF0160,https://www.bowtie.com.hk/blog/zh/%E5%8C%96%E7%99%82-%E5%8C%96%E5%AD%B8%E6%B2%BB%E7%99%82/
REF0161,https://webapp.cgmh.org.tw/article/document/art_atch/00067-20200725-104238.pdf
REF0162,https://www.canceraway.org.tw/page.php?IDno=1944
REF0163,https://epaper.ntuh.gov.tw/health/202002/pdf/%E5%B8%B8%E8%A6%8B%E7%94%A8%E8%97%A5QA.pdf
REF0164,http://sub.chimei.org.tw/77001/index.php/patientarea-2-5
REF0165,http://web.tccf.org.tw/lib/addon.php?act=post&id=4290
REF0166,http://web.tccf.org.tw/lib/addon.php?act=post&id=538
REF0167,https://cancer.commonhealth.com.tw/article/468
REF0168,https://rc.cch.org.tw/knowledge_detail.aspx?uID=28&Key=206
REF0169,https://heal-oncology.com/cancer/%E5%8F%A3%E8%85%94%E7%99%8C/
REF0170,https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=127&pid=13048
REF0171,https://www.ilovetacp.org.tw/Album-1.aspx?uid=129&id=56
REF0172,https://rakuten-med.com/tw/news/press-releases/2022/07/28/7592/
REF0173,https://www.cych.org.tw/CychWebSites/CychRwd/2650/ad/files/%E5%8F%A3%E8%85%94%E7%99%8C%E8%88%87%E6%B0%A3%E5%88%87.pdf
REF0174,https://www.healthnews.com.tw/article/20749
REF0175,https://dep.mohw.gov.tw/DOSAASW/cp-594-5082-103.html
REF0176,https://reurl.cc/a48RqQ
REF0177,https://www.sunshine.org.tw/service/index/oral_cancer?utm_source=chatgpt.com
REF0178,https://www.sunshine.org.tw/service/index/oral_cancer/196?utm_source=chatgpt.com
REF0179,https://www.ecancer.org.tw/rights/friendly_employment/fj2lw
REF0180,https://www.ecancer.org.tw/rights/friendly_employment?utm_source=chatgpt.com
REF0181,https://www.tci-mandarin.com/
REF0182,https://www.bli.gov.tw/0100087.html
REF0183,https://www.sunshine.org.tw/service/intro/financial-aid
REF0184,https://tw.tzuchi.org/featured/help/%E7%96%BE%E7%96%AB%E7%B4%93%E5%9B%B0%E5%B0%88%E6%A1%88
REF0185,https://www.fuboncharity.org.tw/chinese/help/medical
REF0186,https://www.ecancer.org.tw/service/resource_grant/careservice
REF0187,https://www.sinyicharity.org.tw/assistance
REF0188,https://www.ht.org.tw/religion12.htm
REF0189,https://www.pxmart.org.tw/project/1/5
REF0190,https://course.taiwanjobs.gov.tw/wda/index.html
REF0191,https://www.sunshine.org.tw/service/intro/employment-support
REF0192,https://www.17885.com.tw/OnePage.aspx?tid=113
REF0193,https://dosw.gov.taipei/cp.aspx?n=1BDDFE483D38934E
REF0194,https://www.megacharity.org.tw/ApplyMethod
REF0195,https://elearning.canceraway.org.tw/pagelist.php?keyid=97
REF0196,https://www.ecancer.org.tw/service/resource_grant/frgfp
REF0197,https://dosw.gov.taipei/cp.aspx?n=7011FE50261D43B5
REF0198,https://www.ccra.org.tw/SviAriticlePage.aspx?SVSID=4
REF0199,https://www.gov.tw/News_Content_26_615200
REF0200,https://www.yungching.org.tw/rescue.asp
REF0201,https://dep.mohw.gov.tw/DONAHC/cp-1073-5249-104.html
REF0202,https://www.canceraway.org.tw/page.php?IDno=4763&utm_source=chatgpt.com
REF0203,https://house.eden.org.tw/%E7%94%B3%E8%AB%8B%E6%9C%8D%E5%8B%99?utm_source=chatgpt.com
REF0204,https://www.ecancer.org.tw/service/resource_grant/hope_station
REF0205,https://elearning.canceraway.org.tw/pagelist.php?keyid=295
REF0206,https://www.crm.org.tw/class/information/531
REF0207,https://www.cancerresearchuk.org/about-cancer/coping/physically/changes-appearance/coping-with-changes-how-you-look
REF0208,https://bloodcancer.org.uk/understanding-blood-cancer/treatment/side-effects/changes-body-appearance/
REF0209,https://www.mdanderson.org/cancerwise/parents-helping-kids-cope-with-your-physical-changes-from-cancer.h00-158834379.html
REF0210,https://www.macmillan.org.uk/cancer-information-and-support/impacts-of-cancer/changes-to-your-appearance-and-body-image/managing-reactions-to-changes-in-appearance
REF0211,https://www.cancerresearchuk.org/about-cancer/coping/physically/changes-appearance/skin-care-makeup/day
REF0212,https://www.mountsinai.org/locations/head-neck-institute/cancer/oral/after-surgery-care
REF0213,https://chatgpt.com/g/g-67481118ee20819185778e3653e19dd9-yan-jiu-zhu-li/c/6775f47e-8b08-800b-b5f2-4eb1edc6c8f6
REF0214,https://www.cancerresearchuk.org/about-cancer/mouth-cancer/living-with/changes-your-appearance
REF0215,https://www.headandneckcancer.org.au/health-wellbeing/how-will-i-look/
REF0216,https://www.cancertherapyadvisor.com/features/aesthetic-treatments-for-post-cancer-care/
REF0217,https://www.cancercare.org/publications/293-dating_and_new_relationships_during_and_after_cancer
REF0218,https://www.changingfaces.org.uk/about-visible-difference/ending-appearance-related-discrimination/
REF0219,https://futuredreams.org.uk/how-to-rebuild-confidence-after-cancer/
REF0220,https://cancer.ca/en/living-with-cancer/your-child-has-cancer/after-treatment/long-term-survivorship/relationships
REF0221,https://www.cancer.gov/about-cancer/treatment/side-effects/nutrition
REF0222,https://www.sunshine.org.tw/service/index/oral_cancer/193
REF0223,https://www.cancer.gov/about-cancer/treatment/side-effects/mouth-throat
REF0224,https://www.cancer.gov/publications/patient-education/eatinghints.pdf
REF0225,https://www.cancer.org/cancer/survivorship/coping/nutrition/benefits.html
REF0226,https://www.cancer.org/cancer/managing-cancer/side-effects/eating-problems/swallowing-problems.html
REF0227,https://www.cancer.org/cancer/managing-cancer/side-effects/eating-problems/taste-smell-changes.html
REF0228,https://www.cancer.org/cancer/types/oral-cavity-and-oropharyngeal-cancer/treating/surgery.html
REF0229,https://swallowingdisorderfoundation.com/diet-modification-resources/
REF0230,https://www.mdanderson.org/cancerwise/feeding-tubes-during-cancer-treatment-what-patients-and-caregivers-should-know.h00-159386679.html
REF0231,https://www.stm.org.tw/stm_health14/UploadedFiles/2021/c4dd4cd5-ef05-4738-b709-a50d6edbf308.pdf
REF0232,https://wwwv.tsgh.ndmctsgh.edu.tw/files/web/195/file_up/40000/5881/P-NS-03.pdf
REF0233,https://stanfordhealthcare.org/medical-clinics/cancer-nutrition-services/during-cancer-treatment/nutrition-during-chemo.html
REF0234,https://stanfordhealthcare.org/medical-clinics/cancer-nutrition-services/during-cancer-treatment/nutrition-during-radiation-therapy.html
REF0235,https://www.asha.org/public/speech/disorders/swallowing-problems-after-head-and-neck-cancer/
REF0236,https://www.physio-pedia.com/Dysphagia_Rehabilitation_Management
REF0237,https://dep.mohw.gov.tw/DOMHAOH/np-4673-107.html
REF0238,https://www.1980.org.tw/
REF0239,https://www.depression.org.tw/
REF0240,https://dep.mohw.gov.tw/DOMHAOH/mp-107.html
REF0241,https://www.life1995.org.tw/
REF0242,https://www.twcpa.org.tw/
